Date,Inflation_Rate
1/1/12,2.90
1/1/13,1.60
1/1/14,1.60
1/1/15,-0.10
1/1/16,1.40
1/1/17,2.50
1/1/18,2.10
1/1/19,1.60
1/1/20,2.50
1/1/21,1.40
1/1/22,7.50
2/1/12,2.90
2/1/13,2.00
2/1/14,1.10
2/1/15,0.00
2/1/16,1.00
2/1/17,2.70
2/1/18,2.20
2/1/19,1.50
2/1/20,2.30
2/1/21,1.70
2/1/22,7.90
3/1/12,2.70
3/1/13,1.50
3/1/14,1.50
3/1/15,-0.10
3/1/16,0.90
3/1/17,2.40
3/1/18,2.40
3/1/19,1.90
3/1/20,1.50
3/1/21,2.60
4/1/12,2.30
4/1/13,1.10
4/1/14,2.00
4/1/15,-0.20
4/1/16,1.10
4/1/17,2.20
4/1/18,2.50
4/1/19,2.00
4/1/20,0.30
4/1/21,4.20
5/1/12,1.70
5/1/13,1.40
5/1/14,2.10
5/1/15,0.00
5/1/16,1.00
5/1/17,1.90
5/1/18,2.80
5/1/19,1.80
5/1/20,0.10
5/1/21,5.00
6/1/12,1.70
6/1/13,1.80
6/1/14,2.10
6/1/15,0.10
6/1/16,1.00
6/1/17,1.60
6/1/18,2.90
6/1/19,1.60
6/1/20,0.60
6/1/21,5.40
7/1/12,1.40
7/1/13,2.00
7/1/14,2.00
7/1/15,0.20
7/1/16,0.80
7/1/17,1.70
7/1/18,2.90
7/1/19,1.80
7/1/20,1.00
7/1/21,5.40
8/1/12,1.70
8/1/13,1.50
8/1/14,1.70
8/1/15,0.20
8/1/16,1.10
8/1/17,1.90
8/1/18,2.70
8/1/19,1.70
8/1/20,1.30
8/1/21,5.30
9/1/12,2.00
9/1/13,1.20
9/1/14,1.70
9/1/15,0.00
9/1/16,1.50
9/1/17,2.20
9/1/18,2.30
9/1/19,1.70
9/1/20,1.40
9/1/21,5.40
10/1/12,2.20
10/1/13,1.00
10/1/14,1.70
10/1/15,0.20
10/1/16,1.60
10/1/17,2.00
10/1/18,2.50
10/1/19,1.80
10/1/20,1.20
10/1/21,6.20
11/1/12,1.80
11/1/13,1.20
11/1/14,1.30
11/1/15,0.50
11/1/16,1.70
11/1/17,2.20
11/1/18,2.20
11/1/19,2.10
11/1/20,1.20
11/1/21,6.80
12/1/12,1.70
12/1/13,1.50
12/1/14,0.80
12/1/15,0.70
12/1/16,2.10
12/1/17,2.10
12/1/18,1.90
12/1/19,2.30
12/1/20,1.40
12/1/21,7.00