YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2012,2.9,2.9,2.7,2.3,1.7,1.7,1.4,1.7,2,2.2,1.8,1.7
2013,1.6,2,1.5,1.1,1.4,1.8,2,1.5,1.2,1,1.2,1.5
2014,1.6,1.1,1.5,2,2.1,2.1,2,1.7,1.7,1.7,1.3,0.8
2015,-0.1,0,-0.1,-0.2,0,0.1,0.2,0.2,0,0.2,0.5,0.7
2016,1.4,1,0.9,1.1,1,1,0.8,1.1,1.5,1.6,1.7,2.1
2017,2.5,2.7,2.4,2.2,1.9,1.6,1.7,1.9,2.2,2,2.2,2.1
2018,2.1,2.2,2.4,2.5,2.8,2.9,2.9,2.7,2.3,2.5,2.2,1.9
2019,1.6,1.5,1.9,2,1.8,1.6,1.8,1.7,1.7,1.8,2.1,2.3
2020,2.5,2.3,1.5,0.3,0.1,0.6,1,1.3,1.4,1.2,1.2,1.4
2021,1.4,1.7,2.6,4.2,5,5.4,5.4,5.3,5.4,6.2,6.8,7
2022,7.5,7.9,,,,,,,,,,