ZipCode,Quarter,median_income,SPY,Unemployment,mobility_withUS,property_type,mobility_withincounty,mobility_abroad,mobility_withinstate,Label
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Condo/Co-op,0.125,0.022,0.047,533016.209187036
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Multi-Family (2-4 Unit),0.125,0.022,0.047,759893.064729914
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Single Family Residential,0.125,0.022,0.047,1191524.83184274
78701,2022-04,133454.7869,493.876455084459,-0.0079,0.109,Townhouse,0.125,0.022,0.047,597758.180067271
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,All Residential,0.14,0.009,0.033,450420.770629128
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Condo/Co-op,0.14,0.009,0.033,356582.473060817
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Multi-Family (2-4 Unit),0.14,0.009,0.033,486012.844470757
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Single Family Residential,0.14,0.009,0.033,478419.955073693
78702,2022-04,77641.3563,493.876455084459,0.0695,0.041,Townhouse,0.14,0.009,0.033,422917.787510717
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,All Residential,0.143,0.005,0.023,788627.119433972
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Condo/Co-op,0.143,0.005,0.023,498408.685094215
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Multi-Family (2-4 Unit),0.143,0.005,0.023,733291.789373975
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Single Family Residential,0.143,0.005,0.023,1066247.96567512
78703,2022-04,117081.0868,493.876455084459,0.0145,0.032,Townhouse,0.143,0.005,0.023,630035.403337972
78704,2022-04,81720.6368,493.876455084459,0.0164,0.048,All Residential,0.121,0.007,0.032,663316.2843847
78704,2022-04,81720.6368,493.876455084459,0.0164,0.048,Condo/Co-op,0.121,0.007,0.032,431714.93572831
78704,2022-04,81720.6368,493.876455084459,0.0164,0.048,Multi-Family (2-4 Unit),0.121,0.007,0.032,702018.683403066
78704,2022-04,81720.6368,493.876455084459,0.0164,0.048,Single Family Residential,0.121,0.007,0.032,706948.948594389
78704,2022-04,81720.6368,493.876455084459,0.0164,0.048,Townhouse,0.121,0.007,0.032,591755.301840708
78705,2022-04,24049.2628,493.876455084459,0.0675,0.052,All Residential,0.261,0.018,0.168,415502.115500088
78705,2022-04,24049.2628,493.876455084459,0.0675,0.052,Condo/Co-op,0.261,0.018,0.168,316121.228123134
78705,2022-04,24049.2628,493.876455084459,0.0675,0.052,Multi-Family (2-4 Unit),0.261,0.018,0.168,684872.559439694
78705,2022-04,24049.2628,493.876455084459,0.0675,0.052,Single Family Residential,0.261,0.018,0.168,670640.675858458
78705,2022-04,24049.2628,493.876455084459,0.0675,0.052,Townhouse,0.261,0.018,0.168,521930.941195771
78712,2022-04,-1,493.876455084459,0.5006,0.07,All Residential,0.135,0.01,0.345,383293.275487677
78712,2022-04,-1,493.876455084459,0.5006,0.07,Condo/Co-op,0.135,0.01,0.345,315253.721743574
78712,2022-04,-1,493.876455084459,0.5006,0.07,Multi-Family (2-4 Unit),0.135,0.01,0.345,572176.519210931
78712,2022-04,-1,493.876455084459,0.5006,0.07,Single Family Residential,0.135,0.01,0.345,543286.197840203
78712,2022-04,-1,493.876455084459,0.5006,0.07,Townhouse,0.135,0.01,0.345,458326.245839382
78717,2022-04,119268.8893,493.876455084459,0.0579,0.039,All Residential,0.06,0.012,0.063,549134.251377868
78717,2022-04,119268.8893,493.876455084459,0.0579,0.039,Condo/Co-op,0.06,0.012,0.063,374091.079738899
78717,2022-04,119268.8893,493.876455084459,0.0579,0.039,Multi-Family (2-4 Unit),0.06,0.012,0.063,510075.911936167
78717,2022-04,119268.8893,493.876455084459,0.0579,0.039,Single Family Residential,0.06,0.012,0.063,572031.110668033
78717,2022-04,119268.8893,493.876455084459,0.0579,0.039,Townhouse,0.06,0.012,0.063,440386.002082197
78719,2022-04,79671.0125,493.876455084459,-0.0007,0,All Residential,0.052,0,0.035,362036.041890438
78719,2022-04,79671.0125,493.876455084459,-0.0007,0,Condo/Co-op,0.052,0,0.035,323530.827970685
78719,2022-04,79671.0125,493.876455084459,-0.0007,0,Multi-Family (2-4 Unit),0.052,0,0.035,411671.637241393
78719,2022-04,79671.0125,493.876455084459,-0.0007,0,Single Family Residential,0.052,0,0.035,368232.254310946
78719,2022-04,79671.0125,493.876455084459,-0.0007,0,Townhouse,0.052,0,0.035,341980.566258933
78721,2022-04,50231.3058,493.876455084459,-0.006,0.033,All Residential,0.082,0.005,0.03,477506.782467658
78721,2022-04,50231.3058,493.876455084459,-0.006,0.033,Condo/Co-op,0.082,0.005,0.03,380816.350036079
78721,2022-04,50231.3058,493.876455084459,-0.006,0.033,Multi-Family (2-4 Unit),0.082,0.005,0.03,501787.416150638
78721,2022-04,50231.3058,493.876455084459,-0.006,0.033,Single Family Residential,0.082,0.005,0.03,485148.346360045
78721,2022-04,50231.3058,493.876455084459,-0.006,0.033,Townhouse,0.082,0.005,0.03,464222.232403324
78722,2022-04,78633.5153,493.876455084459,0.042,0.024,All Residential,0.114,0.019,0.029,530332.918036451
78722,2022-04,78633.5153,493.876455084459,0.042,0.024,Condo/Co-op,0.114,0.019,0.029,392792.494118038
78722,2022-04,78633.5153,493.876455084459,0.042,0.024,Multi-Family (2-4 Unit),0.114,0.019,0.029,569566.132894421
78722,2022-04,78633.5153,493.876455084459,0.042,0.024,Single Family Residential,0.114,0.019,0.029,543672.352340862
78722,2022-04,78633.5153,493.876455084459,0.042,0.024,Townhouse,0.114,0.019,0.029,464717.191704062
78723,2022-04,68539.0503,493.876455084459,0.0123,0.023,All Residential,0.137,0.004,0.022,504001.275527714
78723,2022-04,68539.0503,493.876455084459,0.0123,0.023,Condo/Co-op,0.137,0.004,0.022,364522.084674512
78723,2022-04,68539.0503,493.876455084459,0.0123,0.023,Multi-Family (2-4 Unit),0.137,0.004,0.022,527348.124650485
78723,2022-04,68539.0503,493.876455084459,0.0123,0.023,Single Family Residential,0.137,0.004,0.022,503372.804643278
78723,2022-04,68539.0503,493.876455084459,0.0123,0.023,Townhouse,0.137,0.004,0.022,506327.35048054
78724,2022-04,56444.1538,493.876455084459,0.0579,0.005,All Residential,0.073,0.008,0.032,356341.985048186
78724,2022-04,56444.1538,493.876455084459,0.0579,0.005,Condo/Co-op,0.073,0.008,0.032,312800.7275051
78724,2022-04,56444.1538,493.876455084459,0.0579,0.005,Multi-Family (2-4 Unit),0.073,0.008,0.032,390433.166311033
78724,2022-04,56444.1538,493.876455084459,0.0579,0.005,Single Family Residential,0.073,0.008,0.032,353285.7465357
78724,2022-04,56444.1538,493.876455084459,0.0579,0.005,Townhouse,0.073,0.008,0.032,319574.9676333
78725,2022-04,65074.0331,493.876455084459,-0.0075,0.019,All Residential,0.058,0.002,0.03,385453.954987829
78725,2022-04,65074.0331,493.876455084459,-0.0075,0.019,Condo/Co-op,0.058,0.002,0.03,336524.929890327
78725,2022-04,65074.0331,493.876455084459,-0.0075,0.019,Multi-Family (2-4 Unit),0.058,0.002,0.03,435443.981309739
78725,2022-04,65074.0331,493.876455084459,-0.0075,0.019,Single Family Residential,0.058,0.002,0.03,378328.219350715
78725,2022-04,65074.0331,493.876455084459,-0.0075,0.019,Townhouse,0.058,0.002,0.03,357168.015134608
78726,2022-04,77423.5907,493.876455084459,0.0204,0.057,All Residential,0.157,0.005,0.082,558715.289222969
78726,2022-04,77423.5907,493.876455084459,0.0204,0.057,Condo/Co-op,0.157,0.005,0.082,419856.218319505
78726,2022-04,77423.5907,493.876455084459,0.0204,0.057,Multi-Family (2-4 Unit),0.157,0.005,0.082,620090.665528164
78726,2022-04,77423.5907,493.876455084459,0.0204,0.057,Single Family Residential,0.157,0.005,0.082,584969.050743655
78726,2022-04,77423.5907,493.876455084459,0.0204,0.057,Townhouse,0.157,0.005,0.082,525479.143768655
78727,2022-04,83389.41,493.876455084459,0.0471,0.034,All Residential,0.087,0.027,0.044,513622.918980505
78727,2022-04,83389.41,493.876455084459,0.0471,0.034,Condo/Co-op,0.087,0.027,0.044,368439.937773808
78727,2022-04,83389.41,493.876455084459,0.0471,0.034,Multi-Family (2-4 Unit),0.087,0.027,0.044,530345.43018459
78727,2022-04,83389.41,493.876455084459,0.0471,0.034,Single Family Residential,0.087,0.027,0.044,524961.194151452
78727,2022-04,83389.41,493.876455084459,0.0471,0.034,Townhouse,0.087,0.027,0.044,439161.624316644
78728,2022-04,59999.9399,493.876455084459,0.0329,0.027,All Residential,0.105,0.015,0.065,445103.122790551
78728,2022-04,59999.9399,493.876455084459,0.0329,0.027,Condo/Co-op,0.105,0.015,0.065,377313.089496648
78728,2022-04,59999.9399,493.876455084459,0.0329,0.027,Multi-Family (2-4 Unit),0.105,0.015,0.065,473922.286816304
78728,2022-04,59999.9399,493.876455084459,0.0329,0.027,Single Family Residential,0.105,0.015,0.065,443974.445438644
78728,2022-04,59999.9399,493.876455084459,0.0329,0.027,Townhouse,0.105,0.015,0.065,406153.817037823
78729,2022-04,88309.0513,493.876455084459,0.0632,0.035,All Residential,0.072,0.013,0.088,453471.561311936
78729,2022-04,88309.0513,493.876455084459,0.0632,0.035,Condo/Co-op,0.072,0.013,0.088,310298.826677376
78729,2022-04,88309.0513,493.876455084459,0.0632,0.035,Multi-Family (2-4 Unit),0.072,0.013,0.088,459196.916354763
78729,2022-04,88309.0513,493.876455084459,0.0632,0.035,Single Family Residential,0.072,0.013,0.088,479485.98348958
78729,2022-04,88309.0513,493.876455084459,0.0632,0.035,Townhouse,0.072,0.013,0.088,399635.880953333
78730,2022-04,142497.3634,493.876455084459,0.0077,0.035,All Residential,0.096,0.003,0.04,746430.713021678
78730,2022-04,142497.3634,493.876455084459,0.0077,0.035,Condo/Co-op,0.096,0.003,0.04,450083.572674345
78730,2022-04,142497.3634,493.876455084459,0.0077,0.035,Multi-Family (2-4 Unit),0.096,0.003,0.04,662030.493862087
78730,2022-04,142497.3634,493.876455084459,0.0077,0.035,Single Family Residential,0.096,0.003,0.04,906317.065529893
78730,2022-04,142497.3634,493.876455084459,0.0077,0.035,Townhouse,0.096,0.003,0.04,474451.553174538
78731,2022-04,101763.379,493.876455084459,0.0172,0.016,All Residential,0.1,0.022,0.038,612803.818340873
78731,2022-04,101763.379,493.876455084459,0.0172,0.016,Condo/Co-op,0.1,0.022,0.038,370388.588869777
78731,2022-04,101763.379,493.876455084459,0.0172,0.016,Multi-Family (2-4 Unit),0.1,0.022,0.038,607420.287162725
78731,2022-04,101763.379,493.876455084459,0.0172,0.016,Single Family Residential,0.1,0.022,0.038,663734.074717554
78731,2022-04,101763.379,493.876455084459,0.0172,0.016,Townhouse,0.1,0.022,0.038,476041.238512707
78732,2022-04,190727.4438,493.876455084459,0.0025,0.03,All Residential,0.065,0.002,0.012,729059.176897498
78732,2022-04,190727.4438,493.876455084459,0.0025,0.03,Condo/Co-op,0.065,0.002,0.012,506284.976636509
78732,2022-04,190727.4438,493.876455084459,0.0025,0.03,Multi-Family (2-4 Unit),0.065,0.002,0.012,634775.236130241
78732,2022-04,190727.4438,493.876455084459,0.0025,0.03,Single Family Residential,0.065,0.002,0.012,752519.124928443
78732,2022-04,190727.4438,493.876455084459,0.0025,0.03,Townhouse,0.065,0.002,0.012,545759.383631194
78733,2022-04,244226.1804,493.876455084459,0.0191,0.026,All Residential,0.065,0.003,0.014,803022.795459309
78733,2022-04,244226.1804,493.876455084459,0.0191,0.026,Condo/Co-op,0.065,0.003,0.014,487235.605074469
78733,2022-04,244226.1804,493.876455084459,0.0191,0.026,Multi-Family (2-4 Unit),0.065,0.003,0.014,696041.550839413
78733,2022-04,244226.1804,493.876455084459,0.0191,0.026,Single Family Residential,0.065,0.003,0.014,803814.969866772
78733,2022-04,244226.1804,493.876455084459,0.0191,0.026,Townhouse,0.065,0.003,0.014,584188.95233604
78734,2022-04,127939.4652,493.876455084459,0.05,0.032,All Residential,0.083,0.008,0.03,590239.600159824
78734,2022-04,127939.4652,493.876455084459,0.05,0.032,Condo/Co-op,0.083,0.008,0.03,433954.949699262
78734,2022-04,127939.4652,493.876455084459,0.05,0.032,Multi-Family (2-4 Unit),0.083,0.008,0.03,527865.601828634
78734,2022-04,127939.4652,493.876455084459,0.05,0.032,Single Family Residential,0.083,0.008,0.03,599095.927894994
78734,2022-04,127939.4652,493.876455084459,0.05,0.032,Townhouse,0.083,0.008,0.03,473053.537309534
78735,2022-04,102992.5681,493.876455084459,0.0185,0.028,All Residential,0.14,0.012,0.037,655651.927266442
78735,2022-04,102992.5681,493.876455084459,0.0185,0.028,Condo/Co-op,0.14,0.012,0.037,392394.971455104
78735,2022-04,102992.5681,493.876455084459,0.0185,0.028,Multi-Family (2-4 Unit),0.14,0.012,0.037,633742.831693434
78735,2022-04,102992.5681,493.876455084459,0.0185,0.028,Single Family Residential,0.14,0.012,0.037,723755.924054245
78735,2022-04,102992.5681,493.876455084459,0.0185,0.028,Townhouse,0.14,0.012,0.037,528251.214558636
78736,2022-04,91837.0005,493.876455084459,0.0279,0.021,All Residential,0.09,0,0.019,496471.084919441
78736,2022-04,91837.0005,493.876455084459,0.0279,0.021,Condo/Co-op,0.09,0,0.019,334191.058279815
78736,2022-04,91837.0005,493.876455084459,0.0279,0.021,Multi-Family (2-4 Unit),0.09,0,0.019,500541.328206137
78736,2022-04,91837.0005,493.876455084459,0.0279,0.021,Single Family Residential,0.09,0,0.019,505961.753256083
78736,2022-04,91837.0005,493.876455084459,0.0279,0.021,Townhouse,0.09,0,0.019,413781.601061493
78737,2022-04,153996.267,493.876455084459,0.0305,0.013,All Residential,0.038,0.002,0.048,574365.933897277
78737,2022-04,153996.267,493.876455084459,0.0305,0.013,Condo/Co-op,0.038,0.002,0.048,435165.513957241
78737,2022-04,153996.267,493.876455084459,0.0305,0.013,Multi-Family (2-4 Unit),0.038,0.002,0.048,516016.155563377
78737,2022-04,153996.267,493.876455084459,0.0305,0.013,Single Family Residential,0.038,0.002,0.048,568391.347280207
78737,2022-04,153996.267,493.876455084459,0.0305,0.013,Townhouse,0.038,0.002,0.048,377557.74000407
78738,2022-04,133064.9106,493.876455084459,0.0036,0.075,All Residential,0.089,0.003,0.05,716382.405113155
78738,2022-04,133064.9106,493.876455084459,0.0036,0.075,Condo/Co-op,0.089,0.003,0.05,473278.314538602
78738,2022-04,133064.9106,493.876455084459,0.0036,0.075,Multi-Family (2-4 Unit),0.089,0.003,0.05,656641.638077539
78738,2022-04,133064.9106,493.876455084459,0.0036,0.075,Single Family Residential,0.089,0.003,0.05,780191.282731972
78738,2022-04,133064.9106,493.876455084459,0.0036,0.075,Townhouse,0.089,0.003,0.05,480944.082823703
78739,2022-04,179279.7925,493.876455084459,0.0103,0.019,All Residential,0.044,0.005,0.009,752370.880694572
78739,2022-04,179279.7925,493.876455084459,0.0103,0.019,Condo/Co-op,0.044,0.005,0.009,513870.107983628
78739,2022-04,179279.7925,493.876455084459,0.0103,0.019,Multi-Family (2-4 Unit),0.044,0.005,0.009,685625.139997768
78739,2022-04,179279.7925,493.876455084459,0.0103,0.019,Single Family Residential,0.044,0.005,0.009,739851.08061851
78739,2022-04,179279.7925,493.876455084459,0.0103,0.019,Townhouse,0.044,0.005,0.009,557796.647264644
78741,2022-04,53707.0526,493.876455084459,0.0342,0.061,All Residential,0.184,0.016,0.066,476255.505198025
78741,2022-04,53707.0526,493.876455084459,0.0342,0.061,Condo/Co-op,0.184,0.016,0.066,324560.462255751
78741,2022-04,53707.0526,493.876455084459,0.0342,0.061,Multi-Family (2-4 Unit),0.184,0.016,0.066,538443.437732296
78741,2022-04,53707.0526,493.876455084459,0.0342,0.061,Single Family Residential,0.184,0.016,0.066,509567.622836149
78741,2022-04,53707.0526,493.876455084459,0.0342,0.061,Townhouse,0.184,0.016,0.066,502791.709629156
78742,2022-04,56124.2124,493.876455084459,-0.0271,0,All Residential,0.249,0,0.036,374083.94894695
78742,2022-04,56124.2124,493.876455084459,-0.0271,0,Condo/Co-op,0.249,0,0.036,335024.717885159
78742,2022-04,56124.2124,493.876455084459,-0.0271,0,Multi-Family (2-4 Unit),0.249,0,0.036,421954.848625445
78742,2022-04,56124.2124,493.876455084459,-0.0271,0,Single Family Residential,0.249,0,0.036,399863.18252485
78742,2022-04,56124.2124,493.876455084459,-0.0271,0,Townhouse,0.249,0,0.036,365917.578260299
78744,2022-04,57727.0729,493.876455084459,0.0496,0.027,All Residential,0.114,0.012,0.023,463800.940168246
78744,2022-04,57727.0729,493.876455084459,0.0496,0.027,Condo/Co-op,0.114,0.012,0.023,373767.714959126
78744,2022-04,57727.0729,493.876455084459,0.0496,0.027,Multi-Family (2-4 Unit),0.114,0.012,0.023,494540.094699704
78744,2022-04,57727.0729,493.876455084459,0.0496,0.027,Single Family Residential,0.114,0.012,0.023,447343.025861792
78744,2022-04,57727.0729,493.876455084459,0.0496,0.027,Townhouse,0.114,0.012,0.023,427913.101892766
78745,2022-04,69463.2337,493.876455084459,0.0193,0.017,All Residential,0.09,0.007,0.021,452206.686275769
78745,2022-04,69463.2337,493.876455084459,0.0193,0.017,Condo/Co-op,0.09,0.007,0.021,373797.513521831
78745,2022-04,69463.2337,493.876455084459,0.0193,0.017,Multi-Family (2-4 Unit),0.09,0.007,0.021,475275.961978043
78745,2022-04,69463.2337,493.876455084459,0.0193,0.017,Single Family Residential,0.09,0.007,0.021,448886.876703774
78745,2022-04,69463.2337,493.876455084459,0.0193,0.017,Townhouse,0.09,0.007,0.021,423303.703833102
78746,2022-04,166499.0502,493.876455084459,0.0297,0.026,All Residential,0.096,0.007,0.021,896238.050042909
78746,2022-04,166499.0502,493.876455084459,0.0297,0.026,Condo/Co-op,0.096,0.007,0.021,536539.894045473
78746,2022-04,166499.0502,493.876455084459,0.0297,0.026,Multi-Family (2-4 Unit),0.096,0.007,0.021,755465.897109573
78746,2022-04,166499.0502,493.876455084459,0.0297,0.026,Single Family Residential,0.096,0.007,0.021,1037023.33617765
78746,2022-04,166499.0502,493.876455084459,0.0297,0.026,Townhouse,0.096,0.007,0.021,601134.869878333
78747,2022-04,88116.5223,493.876455084459,0.0718,0.019,All Residential,0.109,0.016,0.017,476940.601552198
78747,2022-04,88116.5223,493.876455084459,0.0718,0.019,Condo/Co-op,0.109,0.016,0.017,343382.003840221
78747,2022-04,88116.5223,493.876455084459,0.0718,0.019,Multi-Family (2-4 Unit),0.109,0.016,0.017,479930.900245867
78747,2022-04,88116.5223,493.876455084459,0.0718,0.019,Single Family Residential,0.109,0.016,0.017,477065.157779248
78747,2022-04,88116.5223,493.876455084459,0.0718,0.019,Townhouse,0.109,0.016,0.017,395849.723306336
78748,2022-04,79418.3918,493.876455084459,0.0151,0.013,All Residential,0.065,0.002,0.025,392897.004834689
78748,2022-04,79418.3918,493.876455084459,0.0151,0.013,Condo/Co-op,0.065,0.002,0.025,348440.808761284
78748,2022-04,79418.3918,493.876455084459,0.0151,0.013,Multi-Family (2-4 Unit),0.065,0.002,0.025,444568.713843347
78748,2022-04,79418.3918,493.876455084459,0.0151,0.013,Single Family Residential,0.065,0.002,0.025,390584.024662731
78748,2022-04,79418.3918,493.876455084459,0.0151,0.013,Townhouse,0.065,0.002,0.025,367363.486087689
78749,2022-04,117406.8979,493.876455084459,0.0135,0.019,All Residential,0.117,0.005,0.028,699455.147500126
78749,2022-04,117406.8979,493.876455084459,0.0135,0.019,Condo/Co-op,0.117,0.005,0.028,410739.372791315
78749,2022-04,117406.8979,493.876455084459,0.0135,0.019,Multi-Family (2-4 Unit),0.117,0.005,0.028,635393.526926926
78749,2022-04,117406.8979,493.876455084459,0.0135,0.019,Single Family Residential,0.117,0.005,0.028,765315.069818756
78749,2022-04,117406.8979,493.876455084459,0.0135,0.019,Townhouse,0.117,0.005,0.028,479442.46522845
78750,2022-04,122780.809,493.876455084459,0.0516,0.032,All Residential,0.083,0.011,0.059,547475.603397806
78750,2022-04,122780.809,493.876455084459,0.0516,0.032,Condo/Co-op,0.083,0.011,0.059,408133.797709071
78750,2022-04,122780.809,493.876455084459,0.0516,0.032,Multi-Family (2-4 Unit),0.083,0.011,0.059,515512.01848954
78750,2022-04,122780.809,493.876455084459,0.0516,0.032,Single Family Residential,0.083,0.011,0.059,575532.596280286
78750,2022-04,122780.809,493.876455084459,0.0516,0.032,Townhouse,0.083,0.011,0.059,427600.023187989
78751,2022-04,73854.2734,493.876455084459,0.0316,0.048,All Residential,0.195,0.019,0.057,553476.542472445
78751,2022-04,73854.2734,493.876455084459,0.0316,0.048,Condo/Co-op,0.195,0.019,0.057,358048.505989947
78751,2022-04,73854.2734,493.876455084459,0.0316,0.048,Multi-Family (2-4 Unit),0.195,0.019,0.057,620566.648906762
78751,2022-04,73854.2734,493.876455084459,0.0316,0.048,Single Family Residential,0.195,0.019,0.057,574550.883634782
78751,2022-04,73854.2734,493.876455084459,0.0316,0.048,Townhouse,0.195,0.019,0.057,530493.17067429
78752,2022-04,54189.9385,493.876455084459,0.0365,0.031,All Residential,0.177,0.021,0.036,503814.535197377
78752,2022-04,54189.9385,493.876455084459,0.0365,0.031,Condo/Co-op,0.177,0.021,0.036,357306.424496321
78752,2022-04,54189.9385,493.876455084459,0.0365,0.031,Multi-Family (2-4 Unit),0.177,0.021,0.036,541687.03766331
78752,2022-04,54189.9385,493.876455084459,0.0365,0.031,Single Family Residential,0.177,0.021,0.036,502872.891036853
78752,2022-04,54189.9385,493.876455084459,0.0365,0.031,Townhouse,0.177,0.021,0.036,493315.381989062
78753,2022-04,55828.0298,493.876455084459,0.0376,0.026,All Residential,0.123,0.018,0.039,412358.585238669
78753,2022-04,55828.0298,493.876455084459,0.0376,0.026,Condo/Co-op,0.123,0.018,0.039,349640.607354809
78753,2022-04,55828.0298,493.876455084459,0.0376,0.026,Multi-Family (2-4 Unit),0.123,0.018,0.039,444697.537476722
78753,2022-04,55828.0298,493.876455084459,0.0376,0.026,Single Family Residential,0.123,0.018,0.039,411489.838939699
78753,2022-04,55828.0298,493.876455084459,0.0376,0.026,Townhouse,0.123,0.018,0.039,363411.573475379
78754,2022-04,82755.3597,493.876455084459,0.0097,0.041,All Residential,0.159,0.007,0.043,615891.553750924
78754,2022-04,82755.3597,493.876455084459,0.0097,0.041,Condo/Co-op,0.159,0.007,0.043,380142.185468352
78754,2022-04,82755.3597,493.876455084459,0.0097,0.041,Multi-Family (2-4 Unit),0.159,0.007,0.043,647015.861272647
78754,2022-04,82755.3597,493.876455084459,0.0097,0.041,Single Family Residential,0.159,0.007,0.043,679471.69441279
78754,2022-04,82755.3597,493.876455084459,0.0097,0.041,Townhouse,0.159,0.007,0.043,537543.423663106
78756,2022-04,92932.9652,493.876455084459,0.0091,0.032,All Residential,0.168,0.024,0.059,709277.621879413
78756,2022-04,92932.9652,493.876455084459,0.0091,0.032,Condo/Co-op,0.168,0.024,0.059,371636.425141762
78756,2022-04,92932.9652,493.876455084459,0.0091,0.032,Multi-Family (2-4 Unit),0.168,0.024,0.059,729679.508783548
78756,2022-04,92932.9652,493.876455084459,0.0091,0.032,Single Family Residential,0.168,0.024,0.059,787411.065448756
78756,2022-04,92932.9652,493.876455084459,0.0091,0.032,Townhouse,0.168,0.024,0.059,573694.001064625
78757,2022-04,89157.209,493.876455084459,0.0358,0.042,All Residential,0.109,0.004,0.028,611183.313249273
78757,2022-04,89157.209,493.876455084459,0.0358,0.042,Condo/Co-op,0.109,0.004,0.028,375556.196241662
78757,2022-04,89157.209,493.876455084459,0.0358,0.042,Multi-Family (2-4 Unit),0.109,0.004,0.028,634443.493572061
78757,2022-04,89157.209,493.876455084459,0.0358,0.042,Single Family Residential,0.109,0.004,0.028,638749.80196242
78757,2022-04,89157.209,493.876455084459,0.0358,0.042,Townhouse,0.109,0.004,0.028,511502.74475985
78758,2022-04,60369.4712,493.876455084459,0.0367,0.042,All Residential,0.143,0.014,0.046,470289.912191365
78758,2022-04,60369.4712,493.876455084459,0.0367,0.042,Condo/Co-op,0.143,0.014,0.046,326702.257820734
78758,2022-04,60369.4712,493.876455084459,0.0367,0.042,Multi-Family (2-4 Unit),0.143,0.014,0.046,505300.733024017
78758,2022-04,60369.4712,493.876455084459,0.0367,0.042,Single Family Residential,0.143,0.014,0.046,475221.213253313
78758,2022-04,60369.4712,493.876455084459,0.0367,0.042,Townhouse,0.143,0.014,0.046,414557.019252152
78759,2022-04,94598.0077,493.876455084459,0.0329,0.034,All Residential,0.099,0.015,0.046,595291.795853412
78759,2022-04,94598.0077,493.876455084459,0.0329,0.034,Condo/Co-op,0.099,0.015,0.046,375672.997295237
78759,2022-04,94598.0077,493.876455084459,0.0329,0.034,Multi-Family (2-4 Unit),0.099,0.015,0.046,598005.284332878
78759,2022-04,94598.0077,493.876455084459,0.0329,0.034,Single Family Residential,0.099,0.015,0.046,633159.780193507
78759,2022-04,94598.0077,493.876455084459,0.0329,0.034,Townhouse,0.099,0.015,0.046,476629.927356612
78953,2022-04,78540.034,493.876455084459,0.0396,0,All Residential,0.08,0,0.024,387932.036902481
78953,2022-04,78540.034,493.876455084459,0.0396,0,Condo/Co-op,0.08,0,0.024,332504.993177779
78953,2022-04,78540.034,493.876455084459,0.0396,0,Multi-Family (2-4 Unit),0.08,0,0.024,425734.985627015
78953,2022-04,78540.034,493.876455084459,0.0396,0,Single Family Residential,0.08,0,0.024,390707.30537104
78953,2022-04,78540.034,493.876455084459,0.0396,0,Townhouse,0.08,0,0.024,360416.679423353
78957,2022-04,65032.0179,493.876455084459,0.015,0.015,All Residential,0.038,0.004,0.029,396132.794854661
78957,2022-04,65032.0179,493.876455084459,0.015,0.015,Condo/Co-op,0.038,0.004,0.029,334267.066477559
78957,2022-04,65032.0179,493.876455084459,0.015,0.015,Multi-Family (2-4 Unit),0.038,0.004,0.029,449219.017773808
78957,2022-04,65032.0179,493.876455084459,0.015,0.015,Single Family Residential,0.038,0.004,0.029,382503.415776805
78957,2022-04,65032.0179,493.876455084459,0.015,0.015,Townhouse,0.038,0.004,0.029,367655.916709617
